route,hour,minute,lat,lon,year,month,day
3,13,39,41.720711666666666,-87.62362166666666,2024,8,10
4,13,39,41.72516263541529,-87.6044921875,2024,8,10
6,13,39,41.87308883666992,-87.62712756070223,2024,8,10
8,13,39,41.846940994262695,-87.64755140032086,2024,8,10
8A,13,39,41.75105667114258,-87.62760925292969,2024,8,10
9,13,39,41.94447885557663,-87.66878509521484,2024,8,10
10,13,39,41.89376459894954,-87.62430572509766,2024,8,10
11,13,39,42.0190544128418,-87.70991516113281,2024,8,10
12,13,39,41.865623474121094,-87.76305389404297,2024,8,10
J14,13,39,41.88244165158739,-87.62449167288986,2024,8,10
15,13,39,41.802223205566406,-87.6045150756836,2024,8,10
18,13,39,41.85894497958097,-87.7154208096591,2024,8,10
20,13,39,41.88199996948242,-87.62926936793971,2024,8,10
21,13,39,41.85043716430664,-87.79511642456055,2024,8,10
22,13,39,41.89203489394415,-87.62967155093239,2024,8,10
28,13,39,41.80360523570668,-87.58836170543324,2024,8,10
29,13,39,41.81900436401367,-87.62622833251953,2024,8,10
30,13,39,41.730072339375816,-87.5497252146403,2024,8,10
34,13,39,41.65985118532644,-87.61834168665618,2024,8,10
35,13,39,41.83041763305664,-87.67669105529785,2024,8,10
36,13,39,41.9981689453125,-87.6619036356608,2024,8,10
39,13,39,41.82352066040039,-87.6456810902741,2024,8,10
43,13,39,41.816499934476965,-87.6257407244514,2024,8,10
44,13,39,41.787902666174844,-87.65469360351562,2024,8,10
47,13,39,41.80882069514348,-87.64624692476713,2024,8,10
49,13,39,41.973134474320844,-87.68918956409802,2024,8,10
49B,13,39,41.96603012084961,-87.6884536743164,2024,8,10
50,13,39,41.98599,-87.669545,2024,8,10
51,13,39,41.80621693052095,-87.632568359375,2024,8,10
52,13,39,41.778193333333334,-87.70342666666667,2024,8,10
52A,13,39,41.76495034354074,-87.7029059273856,2024,8,10
53,13,39,41.84401378346913,-87.72451782226562,2024,8,10
53A,13,39,41.83132732615751,-87.7242202758789,2024,8,10
54,13,39,41.87502664034484,-87.74495296790951,2024,8,10
54B,13,39,41.770508766174316,-87.74190902709961,2024,8,10
55,13,39,41.79453590267995,-87.63082210353163,2024,8,10
55N,13,39,41.79275894165039,-87.76110076904297,2024,8,10
56,13,39,41.882110595703125,-87.6249545957984,2024,8,10
57,13,39,41.89458465576172,-87.75568389892578,2024,8,10
59,13,39,41.78657913208008,-87.67772674560547,2024,8,10
60,13,39,41.84650833333333,-87.74458166666666,2024,8,10
62,13,39,41.79666748046875,-87.7559440612793,2024,8,10
62H,13,39,41.792110002957855,-87.79641048724835,2024,8,10
63,13,39,41.7800241418787,-87.57613847062395,2024,8,10
63W,13,39,41.77718265240009,-87.80139600313626,2024,8,10
65,13,39,41.92129488689144,-87.77975203351276,2024,8,10
66,13,39,41.89490754263742,-87.7512732914516,2024,8,10
67,13,39,41.767698333333335,-87.683215,2024,8,10
68,13,39,41.99239330291748,-87.79909992218018,2024,8,10
70,13,39,41.90295941221948,-87.68938101974189,2024,8,10
71,13,39,41.765804290771484,-87.60956480444932,2024,8,10
72,13,39,41.90928692287869,-87.78185356987848,2024,8,10
73,13,39,41.91555294623742,-87.63431725135216,2024,8,10
74,13,39,41.92526626586914,-87.65970494196965,2024,8,10
75,13,39,41.75952911376953,-87.67391204833984,2024,8,10
76,13,39,41.93106460571289,-87.78029312958589,2024,8,10
77,13,39,41.940059661865234,-87.64433240890503,2024,8,10
78,13,39,41.961788177490234,-87.65453338623047,2024,8,10
79,13,39,41.75178104898204,-87.5667724609375,2024,8,10
80,13,39,41.95230484008789,-87.83781433105469,2024,8,10
81,13,39,41.96808624267578,-87.74211364096783,2024,8,10
81W,13,39,41.96717834472656,-87.81146641781456,2024,8,10
82,13,39,41.837066650390625,-87.7161636352539,2024,8,10
84,13,39,41.99037170410156,-87.70806708702675,2024,8,10
85,13,39,41.98395166666667,-87.76473333333334,2024,8,10
85A,13,39,42.0091667175293,-87.77189636230469,2024,8,10
87,13,39,41.736839294433594,-87.59051368350075,2024,8,10
90,13,39,41.90815898350307,-87.80573272705078,2024,8,10
91,13,39,41.96766662597656,-87.77686309814453,2024,8,10
92,13,39,41.975830078125,-87.69270337214235,2024,8,10
93,13,39,41.969478607177734,-87.70849609375,2024,8,10
94,13,39,41.77198181152344,-87.68284403483072,2024,8,10
95,13,39,41.72431182861328,-87.68231964111328,2024,8,10
97,13,39,42.02655792236328,-87.70018768310547,2024,8,10
103,13,39,41.70645523071289,-87.67931572596233,2024,8,10
106,13,39,41.709373474121094,-87.5884017944336,2024,8,10
111,13,39,41.72003793716431,-87.61422908306122,2024,8,10
111A,13,39,41.70876666666667,-87.58040833333334,2024,8,10
112,13,39,41.72151184082031,-87.64387283325195,2024,8,10
115,13,39,41.693763732910156,-87.60966491699219,2024,8,10
119,13,39,41.67754417553282,-87.6629907708419,2024,8,10
124,13,39,41.87824630737305,-87.64244079589844,2024,8,10
126,13,39,41.87762451171875,-87.68325517998368,2024,8,10
130,13,39,41.8650016784668,-87.61793917142428,2024,8,10
146,13,39,41.86607565530917,-87.61419491651581,2024,8,10
147,13,39,41.992824358817856,-87.65545654296875,2024,8,10
151,13,39,41.87781833333333,-87.640075,2024,8,10
152,13,39,41.945011138916016,-87.82613509740585,2024,8,10
155,13,39,41.99816131591797,-87.66249579352302,2024,8,10
201,13,39,42.06423416137695,-87.69200439453125,2024,8,10
3,13,40,41.720711666666666,-87.62362166666666,2024,8,10
4,13,40,41.72578997225375,-87.6044692993164,2024,8,10
6,13,40,41.87313412397336,-87.6250702295548,2024,8,10
8,13,40,41.846940994262695,-87.64755140032086,2024,8,10
8A,13,40,41.75105667114258,-87.62760925292969,2024,8,10
9,13,40,41.943036672231315,-87.66875499003642,2024,8,10
10,13,40,41.89340265447443,-87.62429809570312,2024,8,10
11,13,40,42.0171754019601,-87.70875549316406,2024,8,10
12,13,40,41.86573791503906,-87.75468608311245,2024,8,10
J14,13,40,41.88121431524103,-87.62445068359375,2024,8,10
15,13,40,41.802223205566406,-87.6045150756836,2024,8,10
18,13,40,41.85902786254883,-87.71013740871264,2024,8,10
20,13,40,41.88195037841797,-87.6329720986856,2024,8,10
21,13,40,41.8504524230957,-87.79418027573738,2024,8,10
22,13,40,41.89271778530545,-87.62968444824219,2024,8,10
28,13,40,41.801043725782826,-87.58755259360036,2024,8,10
29,13,40,41.820451617240906,-87.62627863883972,2024,8,10
30,13,40,41.730157195544635,-87.54424210845447,2024,8,10
34,13,40,41.664010409651134,-87.61996249494881,2024,8,10
35,13,40,41.83041411179762,-87.67746323805589,2024,8,10
36,13,40,41.9981803894043,-87.66120147705078,2024,8,10
39,13,40,41.823512486049104,-87.64695303780692,2024,8,10
43,13,40,41.81653594970703,-87.62315368652344,2024,8,10
44,13,40,41.79054788442758,-87.65474759615384,2024,8,10
47,13,40,41.80881881713867,-87.64563751220703,2024,8,10
49,13,40,41.971139907836914,-87.68904113769531,2024,8,10
49B,13,40,41.966049671173096,-87.68869113922119,2024,8,10
50,13,40,41.98599,-87.669545,2024,8,10
51,13,40,41.8018490575975,-87.63320479854461,2024,8,10
52,13,40,41.778193333333334,-87.70342666666667,2024,8,10
52A,13,40,41.762560526529946,-87.70281982421875,2024,8,10
53,13,40,41.84635173252651,-87.72451542445592,2024,8,10
53A,13,40,41.82884979248047,-87.72418212890625,2024,8,10
54,13,40,41.877120876312254,-87.74508876800537,2024,8,10
54B,13,40,41.77116012573242,-87.7419204711914,2024,8,10
