route,hour,minute,lat,lon,year,month,day
1,7,15,41.87813186645508,-87.6327101763557,2024,8,8
2,7,15,41.89331136431013,-87.62024443490165,2024,8,8
3,7,15,41.72309494018555,-87.61418151855469,2024,8,8
4,7,15,41.723320758703984,-87.60446166992188,2024,8,8
X4,7,15,41.72174072265625,-87.62079620361328,2024,8,8
6,7,15,41.88724899291992,-87.62078857421875,2024,8,8
7,7,15,41.87299346923828,-87.75670623779297,2024,8,8
8,7,15,41.75288009643555,-87.64408111572266,2024,8,8
8A,7,15,41.75120311313205,-87.62751812405057,2024,8,8
9,7,15,41.72168599909002,-87.66262498335405,2024,8,8
X9,7,15,41.954611666666665,-87.651805,2024,8,8
11,7,15,42.010485212008156,-87.70927429199219,2024,8,8
12,7,15,41.865657806396484,-87.76097869873047,2024,8,8
J14,7,15,41.883201599121094,-87.62803649902344,2024,8,8
15,7,15,41.809200286865234,-87.6321792602539,2024,8,8
18,7,15,41.85902786254883,-87.71501159667969,2024,8,8
20,7,15,41.880575815836586,-87.74755859375,2024,8,8
21,7,15,41.848052978515625,-87.80918884277344,2024,8,8
22,7,15,41.97615432739258,-87.66841888427734,2024,8,8
24,7,15,41.7464485168457,-87.63542938232422,2024,8,8
26,7,15,41.70877,-87.58031333333334,2024,8,8
28,7,15,41.77914284968722,-87.58642578125,2024,8,8
29,7,15,41.7238030364548,-87.6238103673078,2024,8,8
30,7,15,41.74348820119664,-87.57454537654269,2024,8,8
31,7,15,41.83826379776001,-87.63262424468994,2024,8,8
34,7,15,41.70409879822662,-87.62061508842136,2024,8,8
35,7,15,41.831417083740234,-87.61077880859375,2024,8,8
36,7,15,41.98060372092507,-87.65998840332031,2024,8,8
37,7,15,41.925323486328125,-87.65282440185547,2024,8,8
39,7,15,41.823900858561196,-87.60321626209077,2024,8,8
43,7,15,41.81519178910689,-87.62937927246094,2024,8,8
44,7,15,41.73676681518555,-87.6532974243164,2024,8,8
47,7,15,41.80853271484375,-87.67043128380409,2024,8,8
48,7,15,41.736195,-87.67314,2024,8,8
49,7,15,41.973734455723914,-87.68913958149571,2024,8,8
49B,7,15,41.97688653733995,-87.68911976284451,2024,8,8
X49,7,15,41.97850036621094,-87.68959045410156,2024,8,8
50,7,15,41.980516083386476,-87.66967820148079,2024,8,8
51,7,15,41.80115519343196,-87.68289679449958,2024,8,8
52,7,15,41.80488204956055,-87.70428466796875,2024,8,8
52A,7,15,41.77858918712985,-87.70318406628024,2024,8,8
53,7,15,41.84446716308594,-87.72453308105469,2024,8,8
53A,7,15,41.81529730719489,-87.72393035888672,2024,8,8
54,7,15,41.85494318008423,-87.74432773590088,2024,8,8
54A,7,15,41.96430587768555,-87.74750518798828,2024,8,8
54B,7,15,41.8516845703125,-87.75798797607422,2024,8,8
55,7,15,41.79393005371094,-87.67298126220703,2024,8,8
55A,7,15,41.79260114639524,-87.76905156695653,2024,8,8
55N,7,15,41.78654479980469,-87.73922729492188,2024,8,8
56,7,15,41.886834869384764,-87.64354949951172,2024,8,8
57,7,15,41.90947396414621,-87.7558103288923,2024,8,8
59,7,15,41.79302760532924,-87.6318130493164,2024,8,8
60,7,15,41.84645166666667,-87.74459166666666,2024,8,8
62,7,15,41.79899990943171,-87.74049648161858,2024,8,8
62H,7,15,41.79229492437644,-87.78595483498495,2024,8,8
63,7,15,41.779258728027344,-87.68455238947793,2024,8,8
63W,7,15,41.7775845762159,-87.79031459620741,2024,8,8
65,7,15,41.90431400055581,-87.7218543519365,2024,8,8
66,7,15,41.89577429635184,-87.68459647042411,2024,8,8
67,7,15,41.76923097882952,-87.61874607631138,2024,8,8
68,7,15,41.98278045654297,-87.78186798095703,2024,8,8
70,7,15,41.902343333333334,-87.750435,2024,8,8
71,7,15,41.76866912841797,-87.62621307373047,2024,8,8
72,7,15,41.91048812866211,-87.67683899708284,2024,8,8
73,7,15,41.91317092671114,-87.63285154454849,2024,8,8
74,7,15,41.923728942871094,-87.77859497070312,2024,8,8
75,7,15,41.7593603515625,-87.6713442993164,2024,8,8
76,7,15,41.93138885498047,-87.75885397488953,2024,8,8
77,7,15,41.93781166666667,-87.808835,2024,8,8
78,7,15,41.96072187580046,-87.74810190669825,2024,8,8
79,7,15,41.751739501953125,-87.5650156414698,2024,8,8
80,7,15,41.95394605748794,-87.6915532280417,2024,8,8
81,7,15,41.968049821399504,-87.74522018432617,2024,8,8
81W,7,15,41.98373031616211,-87.83905792236328,2024,8,8
82,7,15,41.83673858642578,-87.71455383300781,2024,8,8
84,7,15,41.990577443440756,-87.68490473429362,2024,8,8
85,7,15,41.98396682739258,-87.76470947265625,2024,8,8
85A,7,15,42.01194381713867,-87.78233461122255,2024,8,8
86,7,15,41.98487999325707,-87.7876205444336,2024,8,8
87,7,15,41.73006820678711,-87.5504813272445,2024,8,8
88,7,15,41.97005640227219,-87.76664220875708,2024,8,8
90,7,15,41.88672720867655,-87.80425428307575,2024,8,8
91,7,15,41.96766662597656,-87.77686309814453,2024,8,8
92,7,15,41.970516204833984,-87.76219177246094,2024,8,8
93,7,15,41.96834182739258,-87.71218872070312,2024,8,8
94,7,15,41.772071838378906,-87.67431131998698,2024,8,8
95,7,15,41.721055316925046,-87.66779193878173,2024,8,8
96,7,15,42.009135417449166,-87.66838142199394,2024,8,8
97,7,15,42.037134099889684,-87.74963944046586,2024,8,8
100,7,15,41.70275115966797,-87.53896897838962,2024,8,8
103,7,15,41.71540148504849,-87.62056732177734,2024,8,8
106,7,15,41.707740783691406,-87.59176635742188,2024,8,8
108,7,15,41.70936831306009,-87.64308839685776,2024,8,8
111,7,15,41.72081756591797,-87.62417719914363,2024,8,8
111A,7,15,41.70875876290457,-87.58113985645528,2024,8,8
112,7,15,41.722511291503906,-87.62401580810547,2024,8,8
115,7,15,41.72187462974997,-87.6095443052404,2024,8,8
119,7,15,41.67772674560547,-87.68047332763672,2024,8,8
120,7,15,41.89646346480758,-87.62032515914352,2024,8,8
121,7,15,41.88087882995605,-87.63671875,2024,8,8
125,7,15,41.886629581451416,-87.63598537445068,2024,8,8
126,7,15,41.87670135498047,-87.75366919381278,2024,8,8
134,7,15,41.9264612197876,-87.63754224777222,2024,8,8
135,7,15,41.9636344909668,-87.64996337890625,2024,8,8
136,7,15,41.99042441628196,-87.65538787841797,2024,8,8
143,7,15,41.93346228966346,-87.63932800292969,2024,8,8
146,7,15,41.86867141723633,-87.62738037109375,2024,8,8
147,7,15,41.8802152113481,-87.62445571205832,2024,8,8
148,7,15,41.966015100479126,-87.65011310577393,2024,8,8
151,7,15,41.8777961730957,-87.6398508283827,2024,8,8
152,7,15,41.94612121582031,-87.74749486586627,2024,8,8
155,7,15,41.99775695800781,-87.68827819824219,2024,8,8
156,7,15,41.94005584716797,-87.64892578125,2024,8,8
157,7,15,41.89341735839844,-87.6206283569336,2024,8,8
165,7,15,41.77498744084285,-87.80120849609375,2024,8,8
171,7,15,41.78779983520508,-87.5953140258789,2024,8,8
172,7,15,41.78591537475586,-87.59741973876953,2024,8,8
192,7,15,41.8337516784668,-87.60778045654297,2024,8,8
201,7,15,42.06441879272461,-87.71750259399414,2024,8,8
206,7,15,42.03403026652786,-87.68671719533093,2024,8,8
1,7,16,41.87813949584961,-87.6313455300253,2024,8,8
2,7,16,41.893368993486675,-87.62024988446917,2024,8,8
3,7,16,41.729183197021484,-87.61428833007812,2024,8,8
4,7,16,41.72703508230356,-87.6045150756836,2024,8,8
X4,7,16,41.72190856933594,-87.60952758789062,2024,8,8
6,7,16,41.88724899291992,-87.62078857421875,2024,8,8
7,7,16,41.87303161621094,-87.75001525878906,2024,8,8
8,7,16,41.755950927734375,-87.64419555664062,2024,8,8
8A,7,16,41.75120311313205,-87.62751812405057,2024,8,8
9,7,16,41.72441101074219,-87.66268157958984,2024,8,8
X9,7,16,41.954611666666665,-87.651805,2024,8,8
11,7,16,42.00473346710205,-87.70936088562011,2024,8,8
12,7,16,41.865718841552734,-87.75557708740234,2024,8,8
J14,7,16,41.88323974609375,-87.62528411865235,2024,8,8
18,7,16,41.85894775390625,-87.7197036743164,2024,8,8
20,7,16,41.88042979086599,-87.7555677352413,2024,8,8
21,7,16,41.848052978515625,-87.80918884277344,2024,8,8
22,7,16,41.97615432739258,-87.66841888427734,2024,8,8
24,7,16,41.7435188293457,-87.63300323486328,2024,8,8
26,7,16,41.70836639404297,-87.5809326171875,2024,8,8
28,7,16,41.77317840822281,-87.58627405474263,2024,8,8
29,7,16,41.72852652413504,-87.62392487817881,2024,8,8
30,7,16,41.738639690257884,-87.56784340187356,2024,8,8
31,7,16,41.83817672729492,-87.6378854751587,2024,8,8
34,7,16,41.69869388233531,-87.6209487915039,2024,8,8
35,7,16,41.831417083740234,-87.61077880859375,2024,8,8
36,7,16,41.9777305070744,-87.65999337129814,2024,8,8
37,7,16,41.925323486328125,-87.65282440185547,2024,8,8
39,7,16,41.82400689806257,-87.60908821650914,2024,8,8
43,7,16,41.816499766181494,-87.62574308058795,2024,8,8
44,7,16,41.73676681518555,-87.6532974243164,2024,8,8
47,7,16,41.80854810748184,-87.6694564819336,2024,8,8
48,7,16,41.736195,-87.67314,2024,8,8
49,7,16,41.970651626586914,-87.68901824951172,2024,8,8
49B,7,16,41.984704217245415,-87.68941497802734,2024,8,8
X49,7,16,41.97850036621094,-87.68959045410156,2024,8,8
50,7,16,41.978089846097504,-87.66961963360126,2024,8,8
51,7,16,41.801170349121094,-87.68558150071364,2024,8,8
52,7,16,41.80129737854004,-87.70384979248047,2024,8,8
52A,7,16,41.77534793985301,-87.70310974121094,2024,8,8
53,7,16,41.846354130336216,-87.72451607840402,2024,8,8
53A,7,16,41.81346667542749,-87.72386916802854,2024,8,8
54,7,16,41.860254940921315,-87.74449920654297,2024,8,8
54A,7,16,41.96775436401367,-87.74784851074219,2024,8,8
54B,7,16,41.8516845703125,-87.75798797607422,2024,8,8
55,7,16,41.79387664794922,-87.67754364013672,2024,8,8
55A,7,16,41.79253734241832,-87.77199693159623,2024,8,8
55N,7,16,41.78654479980469,-87.73922729492188,2024,8,8
